iter	Passed	Remaining
0	140	140148
1	140	70350
2	141	47133
3	143	35631
4	143	28630
5	145	24042
6	146	20732
7	147	18274
8	148	16340
9	149	14768
10	150	13512
11	151	12461
12	152	11556
13	153	10781
14	154	10126
15	155	9535
16	155	9006
17	156	8546
18	157	8132
19	158	7753
20	159	7415
21	159	7107
22	160	6824
23	161	6559
24	161	6316
25	162	6096
26	163	5897
27	164	5710
28	165	5533
29	166	5370
30	166	5216
31	167	5068
32	168	4930
33	168	4794
34	169	4667
35	169	4547
36	170	4435
37	170	4326
38	171	4225
39	172	4130
40	172	4040
41	173	3953
42	173	3870
43	174	3789
44	175	3716
45	175	3646
46	176	3574
47	176	3509
48	177	3445
49	178	3387
50	179	3331
51	179	3275
52	180	3219
53	180	3165
54	181	3116
55	181	3067
56	182	3020
57	183	2975
58	183	2932
59	184	2891
60	185	2851
61	185	2811
62	186	2773
63	187	2736
64	187	2699
65	188	2665
66	188	2630
67	189	2598
68	190	2566
69	190	2536
70	191	2505
71	192	2476
72	192	2447
73	193	2421
74	194	2398
75	195	2372
76	195	2345
77	196	2320
78	196	2296
79	197	2271
80	198	2247
81	198	2224
82	199	2199
83	199	2177
84	200	2157
85	201	2137
86	201	2117
87	202	2098
88	203	2080
89	203	2061
90	204	2042
91	205	2024
92	205	2005
93	206	1987
94	206	1970
95	207	1953
96	208	1938
97	209	1923
98	209	1908
99	210	1893
100	211	1878
101	211	1863
102	212	1847
103	212	1832
104	213	1817
105	213	1803
106	214	1789
107	214	1775
108	215	1762
109	216	1748
110	216	1735
111	217	1723
112	218	1711
113	218	1700
114	219	1687
115	219	1675
116	220	1663
117	221	1652
118	221	1640
119	222	1629
120	222	1618
121	223	1608
122	224	1598
123	224	1588
124	225	1578
125	226	1570
126	227	1560
127	227	1550
128	228	1543
129	229	1534
130	229	1525
131	230	1515
132	231	1506
133	231	1497
134	232	1488
135	232	1480
136	233	1471
137	234	1462
138	234	1454
139	235	1445
140	235	1437
141	236	1428
142	236	1419
143	237	1412
144	238	1404
145	239	1398
146	240	1392
147	240	1386
148	241	1379
149	242	1373
150	243	1366
151	243	1359
152	244	1352
153	244	1344
154	245	1338
155	246	1331
156	246	1324
157	247	1317
158	247	1311
159	248	1305
160	248	1297
161	249	1291
162	250	1285
163	250	1279
164	251	1272
165	251	1265
166	252	1259
167	253	1252
168	253	1246
169	254	1241
170	255	1236
171	255	1231
172	256	1225
173	257	1220
174	257	1215
175	258	1210
176	259	1204
177	259	1198
178	260	1194
179	260	1188
180	261	1183
181	262	1178
182	262	1173
183	263	1168
184	264	1163
185	264	1158
186	265	1153
187	265	1148
188	266	1143
189	267	1139
190	267	1134
191	268	1129
192	269	1124
193	269	1120
194	270	1116
195	271	1112
196	271	1108
197	272	1104
198	273	1100
199	274	1096
200	274	1092
201	275	1087
202	275	1083
203	276	1079
204	277	1075
205	277	1070
206	278	1066
207	279	1062
208	279	1058
209	280	1054
210	280	1050
211	281	1046
212	282	1042
213	282	1038
214	283	1034
215	283	1030
216	284	1027
217	285	1024
218	286	1020
219	286	1016
220	287	1013
221	288	1009
222	288	1006
223	289	1002
224	290	999
225	290	995
226	291	992
227	291	988
228	292	984
229	293	981
230	293	978
231	294	974
232	295	971
233	295	967
234	296	964
235	296	961
236	297	957
237	298	954
238	298	950
239	299	947
240	299	944
241	300	941
242	301	939
243	302	936
244	302	933
245	303	929
246	303	926
247	304	922
248	304	919
249	305	916
250	305	913
251	306	909
252	307	906
253	307	903
254	308	900
255	308	897
256	309	894
257	310	892
258	310	889
259	311	886
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	869
266	315	866
267	316	863
268	316	861
269	317	858
270	318	856
271	318	853
272	319	850
273	319	847
274	320	844
275	321	842
276	321	839
277	322	836
278	322	833
279	323	831
280	324	829
281	324	826
282	325	824
283	325	821
284	326	819
285	327	816
286	327	813
287	328	811
288	328	808
289	329	805
290	329	803
291	330	801
292	331	799
293	331	797
294	332	795
295	333	792
296	333	790
297	334	787
298	335	785
299	335	782
300	336	780
301	336	778
302	337	775
303	337	773
304	338	771
305	339	769
306	339	767
307	340	764
308	340	762
309	341	760
310	342	757
311	342	755
312	343	753
313	343	750
314	344	748
315	344	746
316	345	744
317	346	742
318	347	740
319	347	738
320	348	736
321	348	734
322	349	732
323	350	730
324	350	728
325	351	726
326	351	723
327	352	721
328	352	719
329	353	717
330	353	715
331	354	713
332	354	710
333	355	708
334	356	706
335	356	705
336	357	703
337	358	701
338	359	700
339	359	698
340	360	696
341	361	695
342	362	693
343	362	691
344	363	690
345	364	688
346	364	686
347	365	685
348	366	683
349	366	681
350	367	679
351	367	677
352	368	675
353	369	673
354	369	671
355	370	669
356	370	667
357	371	666
358	372	664
359	372	662
360	373	661
361	374	659
362	374	657
363	375	655
364	376	654
365	376	652
366	377	651
367	378	649
368	378	647
369	379	645
370	379	643
371	380	642
372	380	640
373	381	638
374	381	636
375	382	634
376	382	632
377	383	631
378	384	629
379	384	627
380	385	626
381	386	625
382	386	623
383	387	621
384	388	620
385	389	618
386	389	617
387	390	616
388	391	614
389	391	613
390	392	611
391	393	609
392	393	608
393	394	606
394	394	604
395	395	603
396	396	601
397	396	599
398	397	598
399	397	596
400	398	594
401	398	593
402	399	591
403	399	590
404	400	588
405	401	587
406	401	585
407	402	583
408	402	581
409	403	580
410	403	578
411	404	577
412	404	575
413	405	573
414	406	572
415	406	571
416	407	570
417	408	568
418	409	567
419	409	566
420	410	564
421	411	563
422	411	561
423	412	560
424	412	558
425	413	557
426	414	555
427	414	554
428	415	552
429	415	551
430	416	549
431	417	548
432	417	547
433	418	545
434	419	544
435	419	543
436	420	541
437	421	540
438	422	539
439	422	538
440	423	536
441	424	535
442	424	533
443	425	532
444	425	531
445	426	529
446	427	528
447	427	527
448	428	525
449	429	524
450	429	523
451	430	521
452	430	520
453	431	518
454	432	517
455	432	516
456	433	514
457	433	513
458	434	512
459	435	510
460	435	509
461	436	508
462	437	507
463	438	506
464	438	504
465	439	503
466	440	502
467	440	500
468	441	499
469	442	498
470	442	497
471	443	496
472	444	495
473	445	494
474	445	492
475	446	491
476	446	489
477	447	488
478	447	487
479	448	485
480	449	484
481	449	483
482	450	481
483	450	480
484	451	479
485	452	478
486	452	477
487	453	475
488	454	474
489	454	473
490	455	471
491	455	470
492	456	469
493	456	468
494	457	466
495	458	465
496	458	464
497	459	462
498	459	461
499	460	460
500	461	459
501	461	457
502	462	456
503	462	455
504	463	454
505	463	452
506	464	451
507	465	450
508	465	449
509	466	448
510	467	447
511	468	446
512	468	445
513	469	443
514	470	442
515	470	441
516	471	440
517	472	439
518	472	438
519	473	436
520	473	435
521	474	434
522	474	433
523	475	431
524	476	430
525	476	429
526	477	428
527	477	427
528	478	426
529	479	424
530	479	423
531	480	422
532	480	421
533	481	420
534	482	419
535	483	418
536	483	417
537	484	416
538	485	414
539	485	413
540	486	412
541	486	411
542	487	410
543	488	409
544	488	408
545	489	406
546	490	405
547	490	404
548	491	403
549	492	402
550	492	401
551	493	400
552	493	399
553	494	398
554	495	396
555	495	395
556	496	394
557	497	393
558	497	392
559	498	391
560	499	390
561	499	389
562	500	388
563	501	387
564	501	386
565	502	385
566	502	384
567	503	382
568	504	381
569	504	380
570	505	379
571	505	378
572	506	377
573	506	376
574	507	375
575	508	374
576	508	372
577	509	371
578	509	370
579	510	369
580	511	368
581	511	367
582	512	366
583	513	365
584	513	364
585	514	363
586	515	362
587	515	361
588	516	360
589	516	359
590	517	358
591	518	357
592	518	356
593	519	355
594	520	353
595	520	352
596	521	351
597	521	350
598	522	349
599	522	348
600	523	347
601	523	346
602	524	345
603	524	343
604	525	342
605	525	341
606	526	340
607	526	339
608	527	338
609	528	337
610	529	337
611	530	336
612	530	335
613	531	334
614	531	332
615	532	331
616	533	330
617	533	329
618	534	328
619	534	327
620	535	326
621	536	325
622	536	324
623	537	323
624	538	322
625	538	321
626	539	320
627	539	319
628	540	318
629	540	317
630	541	316
631	542	315
632	542	314
633	543	313
634	544	312
635	545	311
636	545	310
637	546	310
638	547	309
639	547	308
640	548	307
641	548	306
642	549	304
643	549	303
644	550	302
645	551	301
646	551	300
647	552	299
648	552	298
649	553	297
650	553	296
651	554	295
652	555	295
653	555	294
654	556	293
655	557	292
656	557	291
657	558	290
658	559	289
659	559	288
660	560	287
661	561	286
662	561	285
663	562	284
664	563	283
665	563	282
666	564	281
667	565	280
668	565	279
669	566	278
670	566	277
671	567	276
672	567	275
673	568	274
674	569	273
675	569	272
676	570	272
677	570	271
678	571	270
679	571	269
680	572	268
681	573	267
682	574	266
683	574	265
684	575	264
685	576	263
686	577	262
687	577	261
688	578	260
689	578	260
690	579	259
691	579	258
692	580	257
693	581	256
694	581	255
695	582	254
696	583	253
697	583	252
698	584	251
699	584	250
700	585	249
701	585	248
702	586	247
703	587	246
704	587	245
705	588	245
706	589	244
707	590	243
708	591	242
709	591	241
710	592	240
711	592	239
712	593	238
713	593	237
714	594	236
715	595	236
716	595	235
717	596	234
718	596	233
719	597	232
720	597	231
721	598	230
722	599	229
723	599	228
724	600	227
725	601	226
726	601	226
727	602	225
728	603	224
729	603	223
730	604	222
731	605	221
732	606	220
733	606	219
734	607	218
735	607	218
736	608	217
737	609	216
738	609	215
739	610	214
740	610	213
741	611	212
742	611	211
743	612	210
744	612	209
745	613	208
746	614	207
747	614	207
748	615	206
749	615	205
750	616	204
751	617	203
752	617	202
753	618	201
754	618	200
755	619	199
756	620	199
757	621	198
758	621	197
759	622	196
760	622	195
761	623	194
762	624	193
763	624	192
764	625	192
765	625	191
766	626	190
767	627	189
768	627	188
769	628	187
770	629	186
771	629	185
772	630	185
773	630	184
774	631	183
775	632	182
776	632	181
777	633	180
778	634	179
779	634	179
780	635	178
781	636	177
782	637	176
783	637	175
784	638	174
785	639	174
786	639	173
787	640	172
788	641	171
789	641	170
790	642	169
791	642	168
792	643	167
793	644	167
794	644	166
795	645	165
796	646	164
797	646	163
798	647	162
799	647	161
800	648	161
801	649	160
802	650	159
803	650	158
804	651	157
805	652	157
806	653	156
807	653	155
808	654	154
809	654	153
810	655	152
811	655	151
812	656	151
813	657	150
814	657	149
815	658	148
816	658	147
817	659	146
818	659	145
819	660	145
820	661	144
821	661	143
822	662	142
823	663	141
824	663	140
825	664	140
826	665	139
827	666	138
828	666	137
829	667	136
830	668	135
831	668	135
832	669	134
833	670	133
834	670	132
835	671	131
836	671	130
837	672	130
838	673	129
839	673	128
840	674	127
841	674	126
842	675	125
843	675	124
844	676	124
845	676	123
846	677	122
847	678	121
848	678	120
849	679	119
850	680	119
851	681	118
852	682	117
853	682	116
854	683	115
855	683	115
856	684	114
857	685	113
858	685	112
859	686	111
860	686	110
861	687	110
862	688	109
863	688	108
864	689	107
865	690	106
866	690	105
867	691	105
868	692	104
869	692	103
870	693	102
871	693	101
872	694	101
873	695	100
874	696	99
875	696	98
876	697	97
877	698	97
878	699	96
879	699	95
880	700	94
881	701	93
882	701	93
883	702	92
884	703	91
885	703	90
886	704	89
887	704	88
888	705	88
889	706	87
890	706	86
891	707	85
892	707	84
893	708	84
894	708	83
895	709	82
896	710	81
897	711	80
898	711	79
899	712	79
900	713	78
901	714	77
902	715	76
903	715	76
904	716	75
905	716	74
906	717	73
907	717	72
908	718	71
909	718	71
910	719	70
911	719	69
912	720	68
913	720	67
914	721	67
915	721	66
916	722	65
917	723	64
918	723	63
919	724	62
920	724	62
921	725	61
922	726	60
923	726	59
924	727	58
925	728	58
926	728	57
927	729	56
928	729	55
929	730	54
930	730	54
931	731	53
932	731	52
933	732	51
934	732	50
935	733	50
936	734	49
937	734	48
938	735	47
939	735	46
940	736	46
941	736	45
942	737	44
943	737	43
944	738	42
945	738	42
946	739	41
947	739	40
948	740	39
949	741	39
950	742	38
951	743	37
952	743	36
953	744	35
954	745	35
955	745	34
956	746	33
957	747	32
958	747	31
959	748	31
960	748	30
961	749	29
962	749	28
963	750	28
964	751	27
965	751	26
966	752	25
967	752	24
968	753	24
969	753	23
970	754	22
971	755	21
972	755	20
973	756	20
974	757	19
975	758	18
976	759	17
977	759	17
978	760	16
979	760	15
980	761	14
981	761	13
982	762	13
983	763	12
984	763	11
985	764	10
986	765	10
987	765	9
988	766	8
989	766	7
990	767	6
991	767	6
992	768	5
993	769	4
994	769	3
995	770	3
996	770	2
997	771	1
998	771	0
999	772	0
